question_id,question,play,question_type,expected_focus,system,retrieved_passages,generated_response,correctness_score,grounding_score,retrieval_relevance_score,usefulness_score,style_quality_score,comments
G1,Who is Ophelia and what happens to her?,Hamlet,concept_explanation,"Ophelia's role, her madness caused by Hamlet and her father's death, and her drowning.",baseline,N/A - no retrieval,"Ophelia is a character in William Shakespeare's play 'Hamlet'. She is the daughter of Polonius and the love interest of Prince Hamlet. 

Tragically, Ophelia's life disintegrates due to the events surrounding her father and Hamlet's madness. After her father's death and Hamlet's rejection, Ophelia descends into madness, is abandoned by those around her, and ultimately drowns in a river while clutching flowers, as depicted in Shakespeare's tragic play.",4,1,N/A,4,3,"Identifies Polonius's daughter, love interest, madness, and drowning. 'Hamlet's rejection' phrasing slightly inaccurate."
G1,Who is Ophelia and what happens to her?,Hamlet,concept_explanation,"Ophelia's role, her madness caused by Hamlet and her father's death, and her drowning.",rag,"[Hamlet Act3 Sc1]: [Scene: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger.] OPHELIA: O hea | [Hamlet Act2 Sc1]: [Scene: Polonius sends Reynaldo to spy and hears Hamlet behaved strangely toward Ophelia.] OPHELIA:  | [Hamlet Act4 Sc5]: [Scene: Ophelia's madness and Laertes's return deepen the crisis.] OPHELIA: (sings) And will he not  | [Hamlet Act2 Sc1]: [Scene: Polonius sends Reynaldo to spy and hears Hamlet behaved strangely toward Ophelia.] OPHELIA:  | [Hamlet Act3 Sc1]: [Scene: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger.] OPHELIA: Madam","Ophelia is a young woman who is deeply in love with Prince Hamlet, but he rejects her. As the play progresses, Ophelia's father, Polonius, and her brother, Laertes, pressure her to end her relationship with Hamlet, but she remains devoted to him. Eventually, Hamlet's rejection of her drives Ophelia to madness, and she loses her grip on reality. She is last seen singing and speaking nonsensically, a tragic figure in the midst of the chaos surrounding her.",4,3,4,4,3,"Act4 Sc5 madness scene is correct. Covers role, rejection, madness arc. Missing the drowning detail entirely, which is a key part of the expected focus. Answer ends at 'last seen singing' without resolving her fate."
G2,What role do the witches play in Macbeth?,Macbeth,concept_explanation,The witches provide prophecies that ignite Macbeth's ambition and contribute to his downfall.,baseline,N/A - no retrieval,"In Macbeth, the witches serve as prophecies and catalysts to the plot. They foretell Macbeth's future, predicting his ascension to the throne and his downfall, thereby influencing Macbeth's actions and decisions, ultimately contributing to the tragic events of the play.",4,1,N/A,4,3,"Correct identification of prophecy, catalyst role, and downfall. Generic phrasing but hits expected focus adequately."
G2,What role do the witches play in Macbeth?,Macbeth,concept_explanation,The witches provide prophecies that ignite Macbeth's ambition and contribute to his downfall.,rag,[Macbeth Act1 Sc1]: [Scene: The witches gather and set up the play's atmosphere of moral confusion.] THIRD WITCH: There  | [Macbeth Act1 Sc3]: [Scene: The witches greet Macbeth with prophecies that awaken his ambition.] FIRST WITCH: Where hast | [Macbeth Act4 Sc1]: [Scene: The witches give Macbeth ambiguous prophecies that make him overconfident.] MACBETH: Came th | [Macbeth Act1 Sc3]: [Scene: The witches greet Macbeth with prophecies that awaken his ambition.] MACBETH: So foul and fa | [Macbeth Act1 Sc3]: [Scene: The witches greet Macbeth with prophecies that awaken his ambition.] SECOND WITCH: I'll give,"The witches play a crucial role in Macbeth by setting the tone of moral confusion and foretelling Macbeth's future, which ultimately awakens his ambition. They greet Macbeth with prophecies that make him question his destiny, and later give him more ambiguous prophecies that make him overconfident. The witches' prophecies serve as a catalyst for Macbeth's transformation from a loyal general to a power-hungry leader. Their words and actions have a profound impact on Macbeth's decisions, and he uses their prophecies to justify his actions. Overall, the witches' role is to guide the plot and shape Macbeth's character.",5,5,5,5,4,"Best RAG answer. Retrieves all three key witch scenes (Act1 Sc1, Act1 Sc3, Act4 Sc1). Covers setup, prophecy igniting ambition, and overconfidence arc. Clear and beginner-friendly."
G3,How does the story of Romeo and Juliet end?,Romeo and Juliet,contextual_qa,Both Romeo and Juliet die in the tomb; their deaths reconcile the feuding families.,baseline,N/A - no retrieval,"In the tragic end of Romeo and Juliet, the two lovers die. Romeo poisons himself in Juliet's tomb, and she stabs herself with his dagger when she awakens to find him dead. Their tragic demise ultimately brings peace between their families.",5,1,N/A,5,3,"Covers Romeo's poison, Juliet's dagger, and family reconciliation. Matches expected focus exactly."
G3,How does the story of Romeo and Juliet end?,Romeo and Juliet,contextual_qa,Both Romeo and Juliet die in the tomb; their deaths reconcile the feuding families.,rag,"[Romeo and Juliet Act5 Sc3]: [Scene: Romeo and Juliet die in the tomb, reconciling the families.] PRINCE: This letter doth make g | [Romeo and Juliet Act3 Sc2]: [Scene: Juliet learns Romeo killed Tybalt and is torn between love and family loyalty.] JULIET: Wash | [Romeo and Juliet Act5 Sc3]: [Scene: Romeo and Juliet die in the tomb, reconciling the families.] WIFE: The people in the street  | [Romeo and Juliet Act3 Sc2]: [Scene: Juliet learns Romeo killed Tybalt and is torn between love and family loyalty.] JULIET: Ah m | [Romeo and Juliet Act1 Sc5]: [Scene: Romeo and Juliet meet and fall in love before learning they are from enemy families.] CAPULE","The story of Romeo and Juliet ends with the tragic death of the two young lovers, Romeo and Juliet.

Their deaths bring peace to their feuding families, the Montagues and the Capulets, as they realize the senseless violence their hatred has caused.

The Prince of Verona laments the loss of his own kinsmen due to the conflict between the two families.

The tragic outcome of the story serves as a warning to others about the destructive power of hate and the importance of love and reconciliation.

The people in the city mourn the loss of the star-crossed lovers, crying out their names as they rush to the tomb.

In the end, the tragic fate of Romeo and Juliet brings a sense of closure and a newfound understanding between their families.",4,4,4,4,3,Retrieves Act5 Sc3 (reconciliation scene) correctly. Covers both deaths and peace. Slightly verbose with padding.
G4,What is the significance of the play within a play in Hamlet?,Hamlet,contextual_qa,Hamlet stages the play to confirm Claudius's guilt as his father's murderer.,baseline,N/A - no retrieval,"In Hamlet, the play within a play, also known as ""The Murder of Gonzago"" or ""The Mousetrap,"" serves as a dramatic device to reveal Claudius's guilt and expose his crime to the audience. It also showcases Hamlet's cunning and intelligence in his attempt to catch Claudius in the act of deception, thereby avenging his father's murder.",5,1,N/A,5,3,Names 'The Murder of Gonzago'' / The Mousetrap'. Covers guilt revelation and Hamlet's intelligence.
G4,What is the significance of the play within a play in Hamlet?,Hamlet,contextual_qa,Hamlet stages the play to confirm Claudius's guilt as his father's murderer.,rag,[Hamlet Act3 Sc2]: [Scene: The play-within-a-play unsettles Claudius.] HAMLET: It was a brute part of him to kill so ca | [Hamlet Act3 Sc2]: [Scene: The play-within-a-play unsettles Claudius.] HAMLET: Upon the talk of the poisoning? | [Hamlet Act3 Sc2]: [Scene: The play-within-a-play unsettles Claudius.] CLAUDIUS: How fares our cousin Hamlet? | [Hamlet Act2 Sc2]: [Scene: Rosencrantz and Guildenstern arrive; Hamlet plans to use players to test Claudius.] HAMLET:  | [Hamlet Act3 Sc2]: [Scene: The play-within-a-play unsettles Claudius.] HAMLET: Do you think I meant country matters?,"The play within a play in Hamlet is significant because it allows Hamlet to test Claudius's guilt by presenting a scene that mirrors the king's crime, the murder of King Hamlet. This technique unsettles Claudius, revealing his true nature. The play-within-a-play also shows how Hamlet uses deception and cleverness to gather information. By observing Claudius's reaction, Hamlet can make an educated guess about the king's guilt. This clever ploy helps Hamlet to confirm his suspicions and further his investigation into the murder of his father.",4,4,5,4,3,All 4 retrieved passages from Act3 Sc2 - ideal retrieval. Correctly explains guilt-testing mechanism. Slightly misses 'mirroring the crime' framing.
G5,Generate a short Shakespearean-style response from Macbeth before killing Duncan.,Macbeth,stylised_generation,Creative stylised output showing Macbeth's internal conflict between ambition and conscience.,baseline,N/A - no retrieval,"""Fie on my wretched fate, that doth beset me thus. 
A tyrant's son, with guilt I shall be cursed, 
For now I stand, as fate's dark shadow, 
To take the life of one, most dear, and just. 
Oh, cursed ambition, that doth tempt my soul, 
To shed the blood of Duncan, king of old.""",4,1,N/A,3,4,Strong verse showing internal conflict. Some cliché phrasing but thematically correct.
G5,Generate a short Shakespearean-style response from Macbeth before killing Duncan.,Macbeth,stylised_generation,Creative stylised output showing Macbeth's internal conflict between ambition and conscience.,rag,"[Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] MACBETH: I'll bring you to hi | [Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] MACBETH: What is't you say? t | [Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] MACBETH: O, yet I do repent m | [Macbeth Act2 Sc2]: [Scene: Macbeth murders Duncan, and the couple reacts to guilt and fear.] MACBETH: To know my deed,  | [Macbeth Act1 Sc5]: [Scene: Lady Macbeth reads Macbeth's letter and resolves to push him toward murder.] MACBETH: My dea","O, fairest king, thy slumber shall be brief
And in thy rest, a cruel fate doth lie
Thy crown, a weighty burden on my head
Doth urge me on, to take thy life with mine
This bloody deed, I dare not longer stay
Thy death, a necessity, I must bring to pass",3,2,2,3,3,"Retrieves post-murder scenes (Act2) instead of Act1 Sc7. 'Thy death, a necessity' misses the agonised conscience angle."
G6,Why do Romeo and Juliet keep their relationship a secret?,Romeo and Juliet,contextual_qa,Their families are sworn enemies; revealing the relationship would end it and endanger them both.,baseline,N/A - no retrieval,"Romeo and Juliet keep their relationship a secret because of the long-standing feud between the Montagues and the Capulets, two powerful families in Verona.",3,1,N/A,3,3,Only one sentence mentions feud but does not explain the danger or consequences. Misses 'endangers them both' aspect entirely.
G6,Why do Romeo and Juliet keep their relationship a secret?,Romeo and Juliet,contextual_qa,Their families are sworn enemies; revealing the relationship would end it and endanger them both.,rag,"[Romeo and Juliet Act1 Sc5]: [Scene: Romeo and Juliet meet and fall in love before learning they are from enemy families.] TYBALT | [Romeo and Juliet Act2 Sc6]: [Scene: Romeo and Juliet marry secretly.] JULIET: Good even to my ghostly confessor. | [Romeo and Juliet Act1 Sc5]: [Scene: Romeo and Juliet meet and fall in love before learning they are from enemy families.] CAPULE | [Romeo and Juliet Act2 Sc6]: [Scene: Romeo and Juliet marry secretly.] ROMEO: Ah, Juliet, if the measure of thy joy Be heap'd lik | [Romeo and Juliet Act3 Sc2]: [Scene: Juliet learns Romeo killed Tybalt and is torn between love and family loyalty.] JULIET: Ah m","Romeo and Juliet keep their relationship a secret because they are from feuding families, the Montagues and the Capulets, and their families would not approve of their love. Their families have a deep-seated hatred for each other, which makes their love seem impossible. To avoid conflict and potential danger, Romeo and Juliet decide to marry in secret. This also means they can be together without worrying about their families' disapproval. By keeping their relationship hidden, Romeo and Juliet can cherish their love without the risk of causing more harm between their families.",4,4,4,4,3,"Retrieves Act1 Sc5 (discovery of identities) and Act2 Sc6 (secret marriage) - ideal evidence. Correctly explains forbidden love, secret marriage, and avoiding conflict."
G7,How does Lady Macbeth influence Macbeth's decision to kill Duncan?,Macbeth,concept_explanation,Lady Macbeth manipulates Macbeth by questioning his courage and driving his ambition.,baseline,N/A - no retrieval,"Lady Macbeth influences Macbeth's decision to kill King Duncan by:

1. Planting seeds of doubt and ambition in his mind.
2. Confronting his hesitation and encouraging him to take action.
3. Using her own feminine wiles and manipulation to push him towards committing the crime.

Her famous lines, ""Come, you spirits that tend on mortal thoughts, unsex me here"" and ""I have given suck, and know how tender it is to love the babe that milks me: I would, while it was smiling in my face, have plucked my nipple from his boneless gums..."" (Act 1, Scene 5), demonstrate her determination and willingness to do whatever it takes to bring about the murder, which ultimately influences Macbeth's decision.",5,1,N/A,5,3,Best baseline for Macbeth. References quotes from Act1 Sc5. Fully matches expected focus.
G7,How does Lady Macbeth influence Macbeth's decision to kill Duncan?,Macbeth,concept_explanation,Lady Macbeth manipulates Macbeth by questioning his courage and driving his ambition.,rag,"[Macbeth Act2 Sc2]: [Scene: Macbeth murders Duncan, and the couple reacts to guilt and fear.] LADY MACBETH: Consider it  | [Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] MACBETH: He does; he did appo | [Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] LADY MACBETH: Woe, alas! What | [Macbeth Act3 Sc2]: [Scene: Macbeth and Lady Macbeth reflect on insecurity after gaining power.] MACBETH: We have scotch | [Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] MACBETH: O, yet I do repent m","Lady Macbeth influences Macbeth's decision to kill Duncan by pushing him to take action and dismissing his doubts. 

She helps Macbeth overcome his initial hesitation and encourages him to follow through with the plan. 

However, after the murder, Lady Macbeth's guilt and fear seem to grow stronger than Macbeth's, leading him to question their actions.

Their relationship and the consequences of their actions create tension and insecurity for both characters.

Macbeth's guilt and remorse become more evident as he reflects on their situation in Act 3, Scene 2.

Lady Macbeth's influence on Macbeth ultimately contributes to their downfall.

Here's a Shakespearean-style response:

""Fair Lady Macbeth, thy words did stir
A fire within my breast, a flame of guilt
That now doth burn with fierce and deadly hurt.
Thy urging voice, a siren's call, did lead
Me down the path of darkness, where I now
Do suffer pangs of conscience and regret.""",3,3,2,3,3,Retrieves post-murder scenes instead of Act1 Sc 5-7. Unsolicited verse appended at end breaks the factual answer format.
G8,What is Hamlet's relationship with his mother Gertrude?,Hamlet,concept_explanation,Hamlet is hurt and angry that Gertrude remarried Claudius so quickly after his father's death.,baseline,N/A - no retrieval,"Hamlet is highly critical and disapproving of his mother, Gertrude, whom he sees as having moved too quickly to remarry his uncle Claudius after his father's death. He views her marriage as an act of infidelity and a betrayal of his father's memory, leading to a strained and often conflicted relationship between them.",5,1,N/A,5,3,"Covers hasty remarriage, betrayal of father's memory, and strained relationship."
G8,What is Hamlet's relationship with his mother Gertrude?,Hamlet,concept_explanation,Hamlet is hurt and angry that Gertrude remarried Claudius so quickly after his father's death.,rag,"[Hamlet Act3 Sc4]: [Scene: Hamlet confronts Gertrude and kills Polonius behind the arras.] HAMLET: Now, mother, what's  | [Hamlet Act2 Sc2]: [Scene: Rosencrantz and Guildenstern arrive; Hamlet plans to use players to test Claudius.] GERTRUDE | [Hamlet Act3 Sc4]: [Scene: Hamlet confronts Gertrude and kills Polonius behind the arras.] HAMLET: Mother, you have my  | [Hamlet Act4 Sc1]: [Scene: Gertrude tells Claudius that Hamlet killed Polonius.] CLAUDIUS: What, Gertrude? How does Ham | [Hamlet Act3 Sc4]: [Scene: Hamlet confronts Gertrude and kills Polonius behind the arras.] GERTRUDE: Hamlet, thou hast ","Hamlet's relationship with his mother Gertrude is complicated and strained. He feels that she rushed into marriage with Claudius after his father's death, which he believes is a betrayal. This leads to tension and conflict between them, as seen in their confrontations in Act 3, Scene 4. Gertrude's words also suggest that she is aware of Hamlet's emotions, but she may not fully understand or agree with them. Hamlet's actions, such as killing Polonius, are motivated by his anger and hurt towards his mother, but it's unclear if she truly understands the depth of his feelings. 

(Note: Creative Shakespearean-style response below)

""A mother's haste doth sow discord's seed,
In Hamlet's heart, a wound that doth proceed
From her swift marriage to the king's dark might,
Leaving him to suffer through the endless night.""",4,4,5,4,3,Retrieves Act3 Sc4 confrontation scenes. Correctly identifies rushed marriage and betrayal. Appends unsolicited verse that adds style value but shouldn't appear in a factual answer.
G9,Generate a short Shakespearean-style speech from Romeo when he first sees Juliet.,Romeo and Juliet,stylised_generation,Creative stylised output capturing Romeo's wonder and immediate infatuation with Juliet.,baseline,N/A - no retrieval,"""Oh, fairest vision, thou dost steal my sight,
As moonlight doth illuminate the night.
Thy lips, they seem to whisper sweet delight,
And in thine eyes, my heart doth take flight.
What wondrous beauty doth enthrall my soul,
That I, a lowly Montague, do make thee whole.""",4,1,N/A,4,4,"Rich imagery, consistent rhyme, captures wonder and infatuation. 'Lowly Montague' framing is slightly off-character but otherwise strong."
G9,Generate a short Shakespearean-style speech from Romeo when he first sees Juliet.,Romeo and Juliet,stylised_generation,Creative stylised output capturing Romeo's wonder and immediate infatuation with Juliet.,rag,"[Romeo and Juliet Act2 Sc4]: [Scene: Romeo arranges marriage plans through the Nurse.] ROMEO: A gentleman, nurse, that loves to h | [Romeo and Juliet Act1 Sc5]: [Scene: Romeo and Juliet meet and fall in love before learning they are from enemy families.] JULIET | [Romeo and Juliet Act1 Sc2]: [Scene: Paris asks to marry Juliet, while Romeo learns about the Capulet feast.] ROMEO: I'll go alon | [Romeo and Juliet Act1 Sc5]: [Scene: Romeo and Juliet meet and fall in love before learning they are from enemy families.] JULIET | [Romeo and Juliet Act1 Sc5]: [Scene: Romeo and Juliet meet and fall in love before learning they are from enemy families.] TYBALT","O fairest maiden, with thy beauty bright,
Thou dost illume the darkness of my night.
Thy lips, they do entice, a wondrous sight,
And in thine eyes, my heart doth take flight.
Thou art a rose, in gardens of delight,
And with one glance, my soul is lost in thee.",4,3,4,4,4,"Retrieves Act1 Sc5 correctly. 6-line verse with strong Elizabethan register. 'Thou art a rose, in gardens of delight' echoes Romeo's actual 'bright angel' language."
G10,What happens to Macbeth at the end of the play?,Macbeth,contextual_qa,Macbeth is killed by Macduff in battle; Malcolm is restored as the rightful king of Scotland.,baseline,N/A - no retrieval,"At the end of the play, Macbeth meets his demise. He is killed by Macduff, an English nobleman who sought revenge for the murder of Macduff's family.",4,1,N/A,4,3,"Correctly states Macduff kills Macbeth. Minor factual error: Macduff is Scottish, not 'English nobleman'. Missing Malcolm's restoration."
G10,What happens to Macbeth at the end of the play?,Macbeth,contextual_qa,Macbeth is killed by Macduff in battle; Malcolm is restored as the rightful king of Scotland.,rag,"[Macbeth Act1 Sc6]: [Scene: Duncan arrives at Macbeth's castle, unaware of the planned betrayal.] LADY MACBETH: He has a | [Macbeth Act1 Sc6]: [Scene: Duncan arrives at Macbeth's castle, unaware of the planned betrayal.] LADY MACBETH: Who dare | [Macbeth Act4 Sc1]: [Scene: The witches give Macbeth ambiguous prophecies that make him overconfident.] MUSIC: The Witch | [Macbeth Act2 Sc3]: [Scene: Duncan's murder is discovered and suspicion begins to spread.] MACBETH: He does; he did appo | [Macbeth Act5 Sc8]: [Scene: Macduff reveals the prophecy's loophole and kills Macbeth.] MACBETH: I will not yield, To ki","At the end of the play, Macbeth is killed by Macduff. This occurs after he is informed that the prophecy's loophole, being ""of no woman born,"" is actually a reference to being ""born by cesarean section,"" making Macduff eligible to kill him. Macbeth's overconfidence and refusal to yield ultimately lead to his downfall. His bravery in the final battle is notable, but it is not enough to save him from Macduff's sword. Macbeth's death marks the end of his tyrannical reign and the beginning of a new era under Malcolm.",5,4,3,5,3,"Correctly retrieves Act5 Sc8. Explains prophecy loophole, Macbeth's defiance, and Malcolm's restoration. Some irrelevant passages (Act1 Sc6) retrieved but correctly ignored."
